LIG COMBUSTIVEIS E SERVICOS LTDA                                                                30/09/2024 09:00,,,,,,,,,,,
VENDAS DE COMBUST�VEL DIA A DIA,,,,,,,,,,,
Empresa: 3 - POSTO LIG 2,,,,,,,,,,,
Per�odo: 01/09/2024 a 29/09/2024,,,,,,,,,,,
Dias previs�o: 30 dia(s) - Data previs�o: 30/09/2024,,,,,,,,,,,
Agrupar: DATA,,,,,,,,,,,
Produtos: ATIVOS,,,,,,,,,,,
M�dia: DIAS VENDIDOS,,,,,,,,,,,
Exibir: LITROS,,,,,,,,,,,
,,,,,,,,,,,
,Dia da,BIODIESEL BS10,,GASOLINA ADITI,,,,,,,
Data,semana,COMUM,ETANOL COMUM,VADA,GASOLINA COMUM,Total,,,,,
2024-09-01,Domingo,70,8,344,43,43,21,466,65,925,1
2024-09-02,Segunda,1083,42,275,38,12,23,490,49,1861,52
2024-09-03,Ter�a,2434,26,209,89,41,89,643,81,3329,86
2024-09-04,Quarta,1327,24,187,12,18,7,562,55,2094,99
2024-09-05,Quinta,980,27,321,6,62,38,407,94,1771,65
2024-09-06,Sexta,1095,45,414,14,141,94,776,94,2428,47
2024-09-07,S�bado,1355,32,259,1,119,99,768,98,2503,4
2024-09-08,Domingo,1199,24,150,61,39,1,798,6,2187,1
2024-09-09,Segunda,1130,4,295,65,39,88,641,9,2107,84
2024-09-10,Ter�a,1580,52,206,8,35,57,678,9,2501,8
2024-09-11,Quarta,2442,5,307,82,57,81,629,64,3437,32
2024-09-12,Quinta,1475,4,183,1,64,84,311,87,2034,77
2024-09-13,Sexta,2606,24,448,48,158,95,728,16,3941,82
2024-09-14,S�bado,304,1,255,56,31,77,887,63,1479,6
2024-09-15,Domingo,842,81,171,3,12,1,547,1,1573,31
2024-09-16,Segunda,2554,59,101,63,63,1,557,86,3277,9
2024-09-17,Ter�a,2080,8,257,35,84,51,693,2,3115,86
2024-09-18,Quarta,2633,83,181,37,22,65,695,72,3533,56
2024-09-19,Quinta,1666,97,127,72,115,83,499,3,2409,55
2024-09-20,Sexta,1396,56,193,33,47,53,1151,6,2788,48
2024-09-21,S�bado,1454,17,111,62,84,13,610,97,2260,9
2024-09-22,Domingo,882,35,139,42,40,56,633,47,1695,8
2024-09-23,Segunda,1034,31,179,41,41,6,658,54,1913,86
2024-09-24,Ter�a,4148,78,84,98,21,23,559,0,4814,0
2024-09-25,Quarta,2136,51,20,5,79,56,282,31,2518,89
2024-09-26,Quinta,1922,85,216,5,56,63,604,39,2800,37
2024-09-27,Sexta,2862,13,324,97,149,75,699,14,4035,98
2024-09-28,S�bado,1608,88,346,6,81,52,668,39,2704,85
2024-09-29,Domingo,2254,3,197,87,55,17,614,74,3121,82
Total,,48563,94,6513,8,1823,44,18268,47,75168,93
M�dia,,1674,62,224,59,62,88,629,95,2592,3
Previs�o,,50238,56,6737,67,1886,32,18898,42,77760,96
