EMPRESA,DATA,DIA DA SEMANA,UNIDADE,BIODIESEL BS10 COMUM,ETANOL COMUM,GASOLINA ADITIVADA,GASOLINA COMUM,TOTAL
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-01,Domingo,LITROS,70,8,344,43,465
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-02,Segunda,LITROS,1083,42,275,38,1438
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-03,Terca,LITROS,2434,26,209,89,2758
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-04,Quarta,LITROS,1327,24,187,12,1550
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-05,Quinta,LITROS,980,27,321,6,1334
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-06,Sexta,LITROS,1095,45,414,14,1568
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-07,Sabado,LITROS,1355,32,259,1,1647
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-08,Domingo,LITROS,1199,24,150,61,1434
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-09,Segunda,LITROS,1130,4,295,65,1494
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-10,Terca,LITROS,1580,52,206,8,1846
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-11,Quarta,LITROS,2442,5,307,82,2836
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-12,Quinta,LITROS,1475,4,183,1,1663
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-13,Sexta,LITROS,2606,24,448,48,3126
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-14,Sabado,LITROS,304,1,255,56,616
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-15,Domingo,LITROS,842,81,171,3,1097
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-16,Segunda,LITROS,2554,59,101,63,2777
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-17,Terca,LITROS,2080,8,257,35,2380
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-18,Quarta,LITROS,2633,83,181,37,2934
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-19,Quinta,LITROS,1666,97,127,72,1962
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-20,Sexta,LITROS,1396,56,193,33,1678
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-21,Sabado,LITROS,1454,17,111,62,1644
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-22,Domingo,LITROS,882,35,139,42,1098
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-23,Segunda,LITROS,1034,31,179,41,1285
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-24,Terca,LITROS,4148,78,84,98,4408
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-25,Quarta,LITROS,2136,51,20,5,2212
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-26,Quinta,LITROS,1922,85,216,5,2228
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-27,Sexta,LITROS,2862,13,324,97,3296
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-28,Sabado,LITROS,1608,88,346,6,2048
LIG COMBUSTIVEIS E SERVICOS LTDA,2024-09-29,Domingo,LITROS,2254,3,197,87,2541
